"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2029,12,1004287.67,1947,1e+10
"PADRON",2029,12,1004287.67,1948,1e+10
"PADRON",2029,12,1004287.67,1949,1e+10
"PADRON",2029,12,1004287.67,1950,1e+10
"PADRON",2029,12,1004287.67,1951,1e+10
"PADRON",2029,12,1004287.67,1952,1e+10
"PADRON",2029,12,1004287.67,1953,1e+10
"PADRON",2029,12,1004287.67,1954,1e+10
"PADRON",2029,12,1004287.67,1955,1e+10
"PADRON",2029,12,1004287.67,1956,1e+10
"PADRON",2029,12,1004287.67,1957,1e+10
"PADRON",2029,12,1004287.67,1958,1e+10
"PADRON",2029,12,1004287.67,1959,1e+10
"PADRON",2029,12,1004287.67,1960,1e+10
"PADRON",2029,12,1004287.67,1961,1e+10
"PADRON",2029,12,1004287.67,1962,1e+10
"PADRON",2029,12,1004287.67,1963,1e+10
"PADRON",2029,12,1004287.67,1964,1e+10
"PADRON",2029,11,1004287.67,1965,1e+10
"PADRON",2029,11,1004287.67,1966,1e+10
"PADRON",2029,11,1004287.67,1967,1e+10
"PADRON",2029,11,1004287.67,1968,1e+10
"PADRON",2029,11,1004287.67,1969,1e+10
"PADRON",2029,11,1004287.67,1970,1e+10
"PADRON",2029,11,1004287.67,1971,1e+10
"PADRON",2029,11,1004287.67,1972,1e+10
"PADRON",2029,11,1004287.67,1973,1e+10
"PADRON",2029,11,1004287.67,1974,1e+10
"PADRON",2029,11,1004287.67,1975,1e+10
"PADRON",2029,11,1004287.67,1976,1e+10
"PADRON",2029,11,1004287.67,1977,1e+10
"PADRON",2029,11,1004287.67,1978,1e+10
"PADRON",2029,11,1004287.67,1979,1e+10
"PADRON",2029,11,1004287.67,1980,1e+10
"PADRON",2029,11,1004287.67,1981,1e+10
"PADRON",2029,11,1004287.67,1982,1e+10
"PADRON",2029,11,1004287.67,1983,1e+10
"PADRON",2029,11,1004287.67,1984,1e+10
"PADRON",2029,11,1004287.67,1985,1e+10
