"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2024,19,1004287.67,717,4.5e+08
"PADRON",2024,18,1004287.67,718,4.5e+08
"PADRON",2024,18,1004287.67,719,4.5e+08
"PADRON",2024,18,1004287.67,720,4.5e+08
"PADRON",2024,18,1004287.67,721,4.5e+08
"PADRON",2024,18,1004287.67,722,4.5e+08
"PADRON",2024,18,1004287.67,723,4.5e+08
"PADRON",2024,18,1004287.67,724,4.5e+08
"PADRON",2024,18,1004287.67,725,4.5e+08
"PADRON",2024,18,1004287.67,726,4.5e+08
"PADRON",2024,18,1004287.67,727,4.5e+08
"PADRON",2024,18,1004287.67,728,4.5e+08
"PADRON",2024,18,1004287.67,729,4.5e+08
"PADRON",2024,18,1004287.67,730,4.5e+08
"PADRON",2024,18,1004287.67,731,4.5e+08
"PADRON",2024,18,1004287.67,732,4.5e+08
"PADRON",2024,18,1004287.67,733,4.5e+08
"PADRON",2024,18,1004287.67,734,4.5e+08
"PADRON",2024,18,1004287.67,735,4.5e+08
"PADRON",2024,17,1004287.67,736,4.5e+08
"PADRON",2024,17,1004287.67,737,4.5e+08
"PADRON",2024,17,1004287.67,738,4.5e+08
"PADRON",2024,17,1004287.67,739,4.5e+08
"PADRON",2024,17,1004287.67,740,4.5e+08
"PADRON",2024,17,1004287.67,741,4.5e+08
"PADRON",2024,17,1004287.67,742,4.5e+08
"PADRON",2024,17,1004287.67,743,4.5e+08
"PADRON",2024,17,1004287.67,744,4.5e+08
"PADRON",2024,17,1004287.67,745,4.5e+08
"PADRON",2024,17,1004287.67,746,4.5e+08
"PADRON",2024,17,1004287.67,747,4.5e+08
"PADRON",2024,17,1004287.67,748,4.5e+08
"PADRON",2024,17,1004287.67,749,4.5e+08
"PADRON",2024,17,1004287.67,750,4.5e+08
"PADRON",2024,17,1004287.67,751,4.5e+08
"PADRON",2024,17,1004287.67,752,4.5e+08
"PADRON",2024,17,1004287.67,753,4.5e+08
"PADRON",2024,17,1004287.67,754,4.5e+08
"PADRON",2024,17,1004287.67,755,4.5e+08
"PADRON",2024,17,1004287.67,756,4.5e+08
"PADRON",2024,17,1004287.67,757,4.5e+08
"PADRON",2024,17,1004287.67,758,4.5e+08
"PADRON",2024,17,1004287.67,759,4.5e+08
"PADRON",2024,17,1004287.67,760,4.5e+08
"PADRON",2024,17,1004287.67,761,4.5e+08
"PADRON",2024,17,1004287.67,762,4.5e+08
"PADRON",2024,17,1004287.67,763,4.5e+08
"PADRON",2024,17,1004287.67,764,4.5e+08
"PADRON",2024,17,1004287.67,765,4.5e+08
"PADRON",2024,17,1004287.67,766,4.5e+08
"PADRON",2024,17,1004287.67,767,4.5e+08
"PADRON",2024,17,1004287.67,768,4.5e+08
"PADRON",2024,17,1004287.67,769,4.5e+08
"PADRON",2024,17,1004287.67,770,4.5e+08
"PADRON",2024,17,1004287.67,771,4.5e+08
"PADRON",2024,17,1004287.67,772,4.5e+08
"PADRON",2024,17,1004287.67,773,4.5e+08
"PADRON",2024,17,1004287.67,774,4.5e+08
"PADRON",2024,17,1004287.67,775,4.5e+08
"PADRON",2024,17,1004287.67,776,4.5e+08
"PADRON",2024,17,1004287.67,777,4.5e+08
"PADRON",2024,17,1004287.67,778,4.5e+08
"PADRON",2024,17,1004287.67,779,4.5e+08
"PADRON",2024,17,1004287.67,780,4.5e+08
"PADRON",2024,17,1004287.67,781,4.5e+08
"PADRON",2024,17,1004287.67,782,4.5e+08
"PADRON",2024,17,1004287.67,783,4.5e+08
"PADRON",2024,17,1004287.67,784,4.5e+08
"PADRON",2024,17,1004287.67,785,4.5e+08
"PADRON",2024,17,1004287.67,786,4.5e+08
"PADRON",2024,17,1004287.67,787,4.5e+08
"PADRON",2024,17,1004287.67,788,4.5e+08
"PADRON",2024,17,1004287.67,789,4.5e+08
"PADRON",2024,17,1004287.67,790,4.5e+08
"PADRON",2024,17,1004287.67,791,4.5e+08
"PADRON",2024,17,1004287.67,792,4.5e+08
"PADRON",2024,17,1004287.67,793,4.5e+08
"PADRON",2024,17,1004287.67,794,4.5e+08
"PADRON",2024,17,1004287.67,795,4.5e+08
"PADRON",2024,17,1004287.67,796,4.5e+08
"PADRON",2024,17,1004287.67,797,4.5e+08
"PADRON",2024,17,1004287.67,798,4.5e+08
"PADRON",2024,17,1004287.67,799,4.5e+08
"PADRON",2024,17,1004287.67,800,4.5e+08
"PADRON",2024,17,1004287.67,801,4.5e+08
"PADRON",2024,17,1004287.67,802,4.5e+08
"PADRON",2024,17,1004287.67,803,4.5e+08
"PADRON",2024,17,1004287.67,804,4.5e+08
"PADRON",2024,17,1004287.67,805,4.5e+08
"PADRON",2024,17,1004287.67,806,4.5e+08
"PADRON",2025,17,1004287.67,807,4.5e+08
"PADRON",2025,17,1004287.67,808,4.5e+08
"PADRON",2025,17,1004287.67,809,4.5e+08
"PADRON",2025,17,1004287.67,810,4.5e+08
"PADRON",2025,17,1004287.67,811,4.5e+08
"PADRON",2025,17,1004287.67,812,4.5e+08
"PADRON",2025,17,1004287.67,813,4.5e+08
"PADRON",2025,17,1004287.67,814,4.5e+08
"PADRON",2025,17,1004287.67,815,4.5e+08
"PADRON",2025,17,1004287.67,816,4.5e+08
"PADRON",2025,17,1004287.67,817,4.5e+08
"PADRON",2025,17,1004287.67,818,4.5e+08
"PADRON",2025,17,1004287.67,819,4.5e+08
