"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2024,19,1004287.67,717,7.5e+08
"PADRON",2024,18,1004287.67,718,7.5e+08
"PADRON",2024,18,1004287.67,719,7.5e+08
"PADRON",2024,18,1004287.67,720,7.5e+08
"PADRON",2024,18,1004287.67,721,7.5e+08
"PADRON",2024,18,1004287.67,722,7.5e+08
"PADRON",2024,18,1004287.67,723,7.5e+08
"PADRON",2024,18,1004287.67,724,7.5e+08
"PADRON",2024,18,1004287.67,725,7.5e+08
"PADRON",2024,18,1004287.67,726,7.5e+08
"PADRON",2024,18,1004287.67,727,7.5e+08
"PADRON",2024,18,1004287.67,728,7.5e+08
"PADRON",2024,18,1004287.67,729,7.5e+08
"PADRON",2024,18,1004287.67,730,7.5e+08
"PADRON",2024,18,1004287.67,731,7.5e+08
"PADRON",2024,18,1004287.67,732,7.5e+08
"PADRON",2024,18,1004287.67,733,7.5e+08
"PADRON",2024,18,1004287.67,734,7.5e+08
"PADRON",2024,18,1004287.67,735,7.5e+08
"PADRON",2024,17,1004287.67,736,7.5e+08
"PADRON",2024,17,1004287.67,737,7.5e+08
"PADRON",2024,17,1004287.67,738,7.5e+08
"PADRON",2024,17,1004287.67,739,7.5e+08
"PADRON",2024,17,1004287.67,740,7.5e+08
"PADRON",2024,17,1004287.67,741,7.5e+08
"PADRON",2024,17,1004287.67,742,7.5e+08
"PADRON",2024,17,1004287.67,743,7.5e+08
"PADRON",2024,17,1004287.67,744,7.5e+08
"PADRON",2024,17,1004287.67,745,7.5e+08
"PADRON",2024,17,1004287.67,746,7.5e+08
"PADRON",2024,17,1004287.67,747,7.5e+08
"PADRON",2024,17,1004287.67,748,7.5e+08
"PADRON",2024,17,1004287.67,749,7.5e+08
"PADRON",2024,17,1004287.67,750,7.5e+08
"PADRON",2024,17,1004287.67,751,7.5e+08
"PADRON",2024,17,1004287.67,752,7.5e+08
"PADRON",2024,17,1004287.67,753,7.5e+08
"PADRON",2024,17,1004287.67,754,7.5e+08
"PADRON",2024,17,1004287.67,755,7.5e+08
"PADRON",2024,17,1004287.67,756,7.5e+08
"PADRON",2024,17,1004287.67,757,7.5e+08
"PADRON",2024,17,1004287.67,758,7.5e+08
"PADRON",2024,17,1004287.67,759,7.5e+08
"PADRON",2024,17,1004287.67,760,7.5e+08
"PADRON",2024,17,1004287.67,761,7.5e+08
"PADRON",2024,17,1004287.67,762,7.5e+08
"PADRON",2024,17,1004287.67,763,7.5e+08
"PADRON",2024,17,1004287.67,764,7.5e+08
"PADRON",2024,17,1004287.67,765,7.5e+08
"PADRON",2024,17,1004287.67,766,7.5e+08
"PADRON",2024,17,1004287.67,767,7.5e+08
"PADRON",2024,17,1004287.67,768,7.5e+08
"PADRON",2024,17,1004287.67,769,7.5e+08
"PADRON",2024,17,1004287.67,770,7.5e+08
"PADRON",2024,17,1004287.67,771,7.5e+08
"PADRON",2024,17,1004287.67,772,7.5e+08
"PADRON",2024,17,1004287.67,773,7.5e+08
"PADRON",2024,17,1004287.67,774,7.5e+08
"PADRON",2024,17,1004287.67,775,7.5e+08
"PADRON",2024,17,1004287.67,776,7.5e+08
"PADRON",2024,17,1004287.67,777,7.5e+08
"PADRON",2024,17,1004287.67,778,7.5e+08
"PADRON",2024,17,1004287.67,779,7.5e+08
"PADRON",2024,17,1004287.67,780,7.5e+08
"PADRON",2024,17,1004287.67,781,7.5e+08
"PADRON",2024,17,1004287.67,782,7.5e+08
"PADRON",2024,17,1004287.67,783,7.5e+08
"PADRON",2024,17,1004287.67,784,7.5e+08
