"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2028,12,1004287.67,1932,5.5e+09
"PADRON",2028,12,1004287.67,1933,5.5e+09
"PADRON",2028,12,1004287.67,1934,5.5e+09
"PADRON",2028,12,1004287.67,1935,5.5e+09
"PADRON",2028,12,1004287.67,1936,5.5e+09
"PADRON",2028,12,1004287.67,1937,5.5e+09
"PADRON",2028,12,1004287.67,1938,5.5e+09
"PADRON",2028,12,1004287.67,1939,5.5e+09
"PADRON",2028,12,1004287.67,1940,5.5e+09
"PADRON",2028,12,1004287.67,1941,5.5e+09
"PADRON",2028,12,1004287.67,1942,5.5e+09
"PADRON",2028,12,1004287.67,1943,5.5e+09
"PADRON",2028,12,1004287.67,1944,5.5e+09
"PADRON",2028,12,1004287.67,1945,5.5e+09
"PADRON",2028,12,1004287.67,1946,5.5e+09
"PADRON",2028,12,1004287.67,1947,5.5e+09
"PADRON",2028,12,1004287.67,1948,5.5e+09
"PADRON",2028,12,1004287.67,1949,5.5e+09
"PADRON",2028,12,1004287.67,1950,5.5e+09
"PADRON",2028,12,1004287.67,1951,5.5e+09
"PADRON",2028,12,1004287.67,1952,5.5e+09
"PADRON",2028,12,1004287.67,1953,5.5e+09
"PADRON",2028,12,1004287.67,1954,5.5e+09
"PADRON",2028,12,1004287.67,1955,5.5e+09
"PADRON",2028,12,1004287.67,1956,5.5e+09
"PADRON",2028,12,1004287.67,1957,5.5e+09
"PADRON",2028,12,1004287.67,1958,5.5e+09
"PADRON",2028,12,1004287.67,1959,5.5e+09
"PADRON",2028,12,1004287.67,1960,5.5e+09
"PADRON",2028,12,1004287.67,1961,5.5e+09
"PADRON",2028,12,1004287.67,1962,5.5e+09
"PADRON",2028,12,1004287.67,1963,5.5e+09
"PADRON",2028,12,1004287.67,1964,5.5e+09
"PADRON",2028,11,1004287.67,1965,5.5e+09
"PADRON",2028,11,1004287.67,1966,5.5e+09
"PADRON",2028,11,1004287.67,1967,5.5e+09
"PADRON",2028,11,1004287.67,1968,5.5e+09
"PADRON",2028,11,1004287.67,1969,5.5e+09
"PADRON",2028,11,1004287.67,1970,5.5e+09
"PADRON",2028,11,1004287.67,1971,5.5e+09
"PADRON",2028,11,1004287.67,1972,5.5e+09
"PADRON",2028,11,1004287.67,1973,5.5e+09
"PADRON",2028,11,1004287.67,1974,5.5e+09
"PADRON",2028,11,1004287.67,1975,5.5e+09
"PADRON",2028,11,1004287.67,1976,5.5e+09
"PADRON",2028,11,1004287.67,1977,5.5e+09
"PADRON",2028,11,1004287.67,1978,5.5e+09
"PADRON",2028,11,1004287.67,1979,5.5e+09
"PADRON",2028,11,1004287.67,1980,5.5e+09
"PADRON",2028,11,1004287.67,1981,5.5e+09
"PADRON",2028,11,1004287.67,1982,5.5e+09
"PADRON",2028,11,1004287.67,1983,5.5e+09
"PADRON",2028,11,1004287.67,1984,5.5e+09
"PADRON",2028,11,1004287.67,1985,5.5e+09
"PADRON",2028,11,1004287.67,1986,5.5e+09
"PADRON",2028,11,1004287.67,1987,5.5e+09
"PADRON",2028,11,1004287.67,1988,5.5e+09
"PADRON",2028,11,1004287.67,1989,5.5e+09
"PADRON",2028,11,1004287.67,1990,5.5e+09
"PADRON",2028,11,1004287.67,1991,5.5e+09
"PADRON",2028,11,1004287.67,1992,5.5e+09
"PADRON",2028,11,1004287.67,1993,5.5e+09
"PADRON",2028,11,1004287.67,1994,5.5e+09
"PADRON",2028,11,1004287.67,1995,5.5e+09
"PADRON",2028,11,1004287.67,1996,5.5e+09
"PADRON",2028,11,1004287.67,1997,5.5e+09
"PADRON",2028,11,1004287.67,1998,5.5e+09
