"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2024,19,1004287.67,717,6e+08
"PADRON",2024,18,1004287.67,718,6e+08
"PADRON",2024,18,1004287.67,719,6e+08
"PADRON",2024,18,1004287.67,720,6e+08
"PADRON",2024,18,1004287.67,721,6e+08
"PADRON",2024,18,1004287.67,722,6e+08
"PADRON",2024,18,1004287.67,723,6e+08
"PADRON",2024,18,1004287.67,724,6e+08
"PADRON",2024,18,1004287.67,725,6e+08
"PADRON",2024,18,1004287.67,726,6e+08
"PADRON",2024,18,1004287.67,727,6e+08
"PADRON",2024,18,1004287.67,728,6e+08
"PADRON",2024,18,1004287.67,729,6e+08
"PADRON",2024,18,1004287.67,730,6e+08
"PADRON",2024,18,1004287.67,731,6e+08
"PADRON",2024,18,1004287.67,732,6e+08
"PADRON",2024,18,1004287.67,733,6e+08
"PADRON",2024,18,1004287.67,734,6e+08
"PADRON",2024,18,1004287.67,735,6e+08
"PADRON",2024,17,1004287.67,736,6e+08
"PADRON",2024,17,1004287.67,737,6e+08
"PADRON",2024,17,1004287.67,738,6e+08
"PADRON",2024,17,1004287.67,739,6e+08
"PADRON",2024,17,1004287.67,740,6e+08
"PADRON",2024,17,1004287.67,741,6e+08
"PADRON",2024,17,1004287.67,742,6e+08
"PADRON",2024,17,1004287.67,743,6e+08
"PADRON",2024,17,1004287.67,744,6e+08
"PADRON",2024,17,1004287.67,745,6e+08
"PADRON",2024,17,1004287.67,746,6e+08
"PADRON",2024,17,1004287.67,747,6e+08
"PADRON",2024,17,1004287.67,748,6e+08
"PADRON",2024,17,1004287.67,749,6e+08
"PADRON",2024,17,1004287.67,750,6e+08
"PADRON",2024,17,1004287.67,751,6e+08
"PADRON",2024,17,1004287.67,752,6e+08
"PADRON",2024,17,1004287.67,753,6e+08
"PADRON",2024,17,1004287.67,754,6e+08
"PADRON",2024,17,1004287.67,755,6e+08
"PADRON",2024,17,1004287.67,756,6e+08
"PADRON",2024,17,1004287.67,757,6e+08
"PADRON",2024,17,1004287.67,758,6e+08
"PADRON",2024,17,1004287.67,759,6e+08
"PADRON",2024,17,1004287.67,760,6e+08
"PADRON",2024,17,1004287.67,761,6e+08
"PADRON",2024,17,1004287.67,762,6e+08
"PADRON",2024,17,1004287.67,763,6e+08
"PADRON",2024,17,1004287.67,764,6e+08
"PADRON",2024,17,1004287.67,765,6e+08
"PADRON",2024,17,1004287.67,766,6e+08
"PADRON",2024,17,1004287.67,767,6e+08
"PADRON",2024,17,1004287.67,768,6e+08
"PADRON",2024,17,1004287.67,769,6e+08
"PADRON",2024,17,1004287.67,770,6e+08
"PADRON",2024,17,1004287.67,771,6e+08
"PADRON",2024,17,1004287.67,772,6e+08
"PADRON",2024,17,1004287.67,773,6e+08
"PADRON",2024,17,1004287.67,774,6e+08
"PADRON",2024,17,1004287.67,775,6e+08
"PADRON",2024,17,1004287.67,776,6e+08
"PADRON",2024,17,1004287.67,777,6e+08
"PADRON",2024,17,1004287.67,778,6e+08
"PADRON",2024,17,1004287.67,779,6e+08
"PADRON",2024,17,1004287.67,780,6e+08
"PADRON",2024,17,1004287.67,781,6e+08
"PADRON",2024,17,1004287.67,782,6e+08
"PADRON",2024,17,1004287.67,783,6e+08
"PADRON",2024,17,1004287.67,784,6e+08
"PADRON",2024,17,1004287.67,785,6e+08
"PADRON",2024,17,1004287.67,786,6e+08
"PADRON",2024,17,1004287.67,787,6e+08
"PADRON",2024,17,1004287.67,788,6e+08
"PADRON",2024,17,1004287.67,789,6e+08
"PADRON",2024,17,1004287.67,790,6e+08
"PADRON",2024,17,1004287.67,791,6e+08
"PADRON",2024,17,1004287.67,792,6e+08
"PADRON",2024,17,1004287.67,793,6e+08
"PADRON",2024,17,1004287.67,794,6e+08
"PADRON",2024,17,1004287.67,795,6e+08
"PADRON",2024,17,1004287.67,796,6e+08
"PADRON",2024,17,1004287.67,797,6e+08
"PADRON",2024,17,1004287.67,798,6e+08
"PADRON",2024,17,1004287.67,799,6e+08
"PADRON",2024,17,1004287.67,800,6e+08
"PADRON",2024,17,1004287.67,801,6e+08
"PADRON",2024,17,1004287.67,802,6e+08
"PADRON",2024,17,1004287.67,803,6e+08
"PADRON",2024,17,1004287.67,804,6e+08
"PADRON",2024,17,1004287.67,805,6e+08
"PADRON",2024,17,1004287.67,806,6e+08
"PADRON",2024,17,1004287.67,807,6e+08
"PADRON",2024,17,1004287.67,808,6e+08
"PADRON",2024,17,1004287.67,809,6e+08
"PADRON",2024,17,1004287.67,810,6e+08
