"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2024,19,1004287.67,717,1e+09
"PADRON",2024,18,1004287.67,718,1e+09
"PADRON",2024,18,1004287.67,719,1e+09
"PADRON",2024,18,1004287.67,720,1e+09
"PADRON",2024,18,1004287.67,721,1e+09
"PADRON",2024,18,1004287.67,722,1e+09
"PADRON",2024,18,1004287.67,723,1e+09
"PADRON",2024,18,1004287.67,724,1e+09
"PADRON",2024,18,1004287.67,725,1e+09
"PADRON",2024,18,1004287.67,726,1e+09
"PADRON",2024,18,1004287.67,727,1e+09
"PADRON",2024,18,1004287.67,728,1e+09
"PADRON",2024,18,1004287.67,729,1e+09
"PADRON",2024,18,1004287.67,730,1e+09
"PADRON",2024,18,1004287.67,731,1e+09
"PADRON",2024,18,1004287.67,732,1e+09
"PADRON",2024,18,1004287.67,733,1e+09
"PADRON",2024,18,1004287.67,734,1e+09
"PADRON",2024,18,1004287.67,735,1e+09
"PADRON",2024,17,1004287.67,736,1e+09
"PADRON",2024,17,1004287.67,737,1e+09
"PADRON",2024,17,1004287.67,738,1e+09
"PADRON",2024,17,1004287.67,739,1e+09
"PADRON",2024,17,1004287.67,740,1e+09
"PADRON",2024,17,1004287.67,741,1e+09
"PADRON",2024,17,1004287.67,742,1e+09
"PADRON",2024,17,1004287.67,743,1e+09
"PADRON",2024,17,1004287.67,744,1e+09
"PADRON",2024,17,1004287.67,745,1e+09
"PADRON",2024,17,1004287.67,746,1e+09
"PADRON",2024,17,1004287.67,747,1e+09
"PADRON",2024,17,1004287.67,748,1e+09
"PADRON",2024,17,1004287.67,749,1e+09
"PADRON",2024,17,1004287.67,750,1e+09
"PADRON",2024,17,1004287.67,751,1e+09
"PADRON",2024,17,1004287.67,752,1e+09
"PADRON",2024,17,1004287.67,753,1e+09
"PADRON",2024,17,1004287.67,754,1e+09
"PADRON",2024,17,1004287.67,755,1e+09
"PADRON",2024,17,1004287.67,756,1e+09
"PADRON",2024,17,1004287.67,757,1e+09
"PADRON",2024,17,1004287.67,758,1e+09
"PADRON",2024,17,1004287.67,759,1e+09
"PADRON",2024,17,1004287.67,760,1e+09
"PADRON",2024,17,1004287.67,761,1e+09
