"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2024,19,1004287.67,717,9.5e+08
"PADRON",2024,18,1004287.67,718,9.5e+08
"PADRON",2024,18,1004287.67,719,9.5e+08
"PADRON",2024,18,1004287.67,720,9.5e+08
"PADRON",2024,18,1004287.67,721,9.5e+08
"PADRON",2024,18,1004287.67,722,9.5e+08
"PADRON",2024,18,1004287.67,723,9.5e+08
"PADRON",2024,18,1004287.67,724,9.5e+08
"PADRON",2024,18,1004287.67,725,9.5e+08
"PADRON",2024,18,1004287.67,726,9.5e+08
"PADRON",2024,18,1004287.67,727,9.5e+08
"PADRON",2024,18,1004287.67,728,9.5e+08
"PADRON",2024,18,1004287.67,729,9.5e+08
"PADRON",2024,18,1004287.67,730,9.5e+08
"PADRON",2024,18,1004287.67,731,9.5e+08
"PADRON",2024,18,1004287.67,732,9.5e+08
"PADRON",2024,18,1004287.67,733,9.5e+08
"PADRON",2024,18,1004287.67,734,9.5e+08
"PADRON",2024,18,1004287.67,735,9.5e+08
"PADRON",2024,17,1004287.67,736,9.5e+08
"PADRON",2024,17,1004287.67,737,9.5e+08
"PADRON",2024,17,1004287.67,738,9.5e+08
"PADRON",2024,17,1004287.67,739,9.5e+08
"PADRON",2024,17,1004287.67,740,9.5e+08
"PADRON",2024,17,1004287.67,741,9.5e+08
"PADRON",2024,17,1004287.67,742,9.5e+08
"PADRON",2024,17,1004287.67,743,9.5e+08
"PADRON",2024,17,1004287.67,744,9.5e+08
"PADRON",2024,17,1004287.67,745,9.5e+08
"PADRON",2024,17,1004287.67,746,9.5e+08
"PADRON",2024,17,1004287.67,747,9.5e+08
"PADRON",2024,17,1004287.67,748,9.5e+08
"PADRON",2024,17,1004287.67,749,9.5e+08
"PADRON",2024,17,1004287.67,750,9.5e+08
"PADRON",2024,17,1004287.67,751,9.5e+08
"PADRON",2024,17,1004287.67,752,9.5e+08
"PADRON",2024,17,1004287.67,753,9.5e+08
"PADRON",2024,17,1004287.67,754,9.5e+08
"PADRON",2024,17,1004287.67,755,9.5e+08
"PADRON",2024,17,1004287.67,756,9.5e+08
"PADRON",2024,17,1004287.67,757,9.5e+08
"PADRON",2024,17,1004287.67,758,9.5e+08
"PADRON",2024,17,1004287.67,759,9.5e+08
"PADRON",2024,17,1004287.67,760,9.5e+08
"PADRON",2024,17,1004287.67,761,9.5e+08
"PADRON",2024,17,1004287.67,762,9.5e+08
"PADRON",2024,17,1004287.67,763,9.5e+08
"PADRON",2024,17,1004287.67,764,9.5e+08
"PADRON",2024,17,1004287.67,765,9.5e+08
"PADRON",2024,17,1004287.67,766,9.5e+08
"PADRON",2024,17,1004287.67,767,9.5e+08
"PADRON",2024,17,1004287.67,768,9.5e+08
"PADRON",2024,17,1004287.67,769,9.5e+08
"PADRON",2024,17,1004287.67,770,9.5e+08
"PADRON",2024,17,1004287.67,771,9.5e+08
